['NKD', 'ForwardChecking', 'MRV', 'None'] avg time: 0.10794953107833863s
['NKT', 'ForwardChecking', 'ArcConsistency', 'None', 'LCV'] avg time: 0.10821729898452759s
['ForwardChecking', 'NKD', 'MRV', 'None'] avg time: 0.10848472118377686s
['ForwardChecking', 'ArcConsistency', 'NKT', 'None', 'LCV'] avg time: 0.10872784852981568s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'None', 'LCV'] avg time: 0.1091007113456726s
['NKD', 'NKT', 'ForwardChecking', 'ArcConsistency', 'None', 'LCV'] avg time: 0.10947728157043457s
['NKT', 'ForwardChecking', 'ArcConsistency', 'NKD', 'None', 'LCV'] avg time: 0.10954511165618896s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'MRV', 'LCV'] avg time: 0.10954973697662354s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'None', 'LCV'] avg time: 0.10960514545440674s
['ArcConsistency', 'NKD', 'ForwardChecking', 'NKT', 'MRV', 'LCV'] avg time: 0.10974215269088745s
['NKT', 'ArcConsistency', 'NKD', 'ForwardChecking', 'None', 'LCV'] avg time: 0.10984838008880615s
['NKD', 'ArcConsistency', 'ForwardChecking', 'NKT', 'None', 'LCV'] avg time: 0.10996050834655761s
['NKT', 'ForwardChecking', 'ArcConsistency', 'NKD', 'MRV', 'LCV'] avg time: 0.11000525951385498s
['NKT', 'NKD', 'ArcConsistency', 'ForwardChecking', 'None', 'LCV'] avg time: 0.11001087427139282s
['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'None', 'LCV'] avg time: 0.11003574132919311s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'MRV', 'LCV'] avg time: 0.11018598079681396s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'None', 'LCV'] avg time: 0.1102475643157959s
['ForwardChecking', 'NKD', 'NKT', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.11027365922927856s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.1103083610534668s
['ForwardChecking', 'ArcConsistency', 'NKT', 'NKD', 'None', 'LCV'] avg time: 0.11046304702758789s
['NKD', 'NKT', 'ForwardChecking', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.11051023006439209s
['NKD', 'ArcConsistency', 'ForwardChecking', 'NKT', 'MRV', 'LCV'] avg time: 0.1105191469192505s
['NKT', 'ForwardChecking', 'NKD', 'ArcConsistency', 'None', 'LCV'] avg time: 0.11053889989852905s
['NKD', 'NKT', 'ArcConsistency', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.11072778701782227s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'None', 'LCV'] avg time: 0.11100924015045166s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'None', 'LCV'] avg time: 0.11101948022842408s
['ArcConsistency', 'NKT', 'ForwardChecking', 'NKD', 'MRV', 'LCV'] avg time: 0.1111614465713501s
['ForwardChecking', 'NKT', 'ArcConsistency', 'NKD', 'None', 'LCV'] avg time: 0.11119328737258911s
['ForwardChecking', 'NKT', 'ArcConsistency', 'NKD', 'MRV', 'LCV'] avg time: 0.11125758886337281s
['NKT', 'NKD', 'ArcConsistency', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.11129378080368042s
['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.11132138967514038s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'MRV', 'LCV'] avg time: 0.11136358976364136s
['NKD', 'NKT', 'ArcConsistency', 'ForwardChecking', 'None', 'LCV'] avg time: 0.1113999366760254s
['ArcConsistency', 'NKD', 'NKT', 'ForwardChecking', 'None', 'LCV'] avg time: 0.1114378809928894s
['ForwardChecking', 'NKT', 'NKD', 'ArcConsistency', 'None', 'LCV'] avg time: 0.11160749197006226s
['NKD', 'ArcConsistency', 'NKT', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.11162406206130981s
['ArcConsistency', 'NKD', 'NKT', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.11176705360412598s
['ForwardChecking', 'NKT', 'NKD', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.11180686950683594s
['ArcConsistency', 'NKT', 'ForwardChecking', 'NKD', 'None', 'LCV'] avg time: 0.11200050115585328s
['NKD', 'ArcConsistency', 'NKT', 'ForwardChecking', 'None', 'LCV'] avg time: 0.11205124855041504s
['ForwardChecking', 'NKD', 'NKT', 'ArcConsistency', 'None', 'LCV'] avg time: 0.11227020025253295s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.11228171586990357s
['ArcConsistency', 'ForwardChecking', 'NKD', 'NKT', 'None', 'LCV'] avg time: 0.11238046884536743s
['ArcConsistency', 'NKD', 'ForwardChecking', 'NKT', 'None', 'LCV'] avg time: 0.11254942417144775s
['NKT', 'ForwardChecking', 'NKD', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.11264002323150635s
['NKT', 'ArcConsistency', 'NKD', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.11269805431365967s
['ForwardChecking', 'NKD', 'ArcConsistency', 'NKT', 'MRV', 'LCV'] avg time: 0.11274850368499756s
['ForwardChecking', 'ArcConsistency', 'NKD', 'NKT', 'None', 'LCV'] avg time: 0.11279675960540772s
['ArcConsistency', 'ForwardChecking', 'NKD', 'NKT', 'MRV', 'LCV'] avg time: 0.11280879974365235s
['NKT', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.11281430721282959s
['ForwardChecking', 'NKD', 'ArcConsistency', 'NKT', 'None', 'LCV'] avg time: 0.11300262212753295s
['ForwardChecking', 'ArcConsistency', 'NKD', 'NKT', 'MRV', 'LCV'] avg time: 0.11366053819656372s
['ForwardChecking', 'ArcConsistency', 'NKT', 'NKD', 'MRV', 'LCV'] avg time: 0.1141202688217163s
['ForwardChecking', 'NKT', 'MRV', 'LCV'] avg time: 0.11446764469146728s
['NKT', 'ArcConsistency', 'ForwardChecking', 'None', 'LCV'] avg time: 0.11580791473388671s
['ForwardChecking', 'ArcConsistency', 'NKD', 'None', 'LCV'] avg time: 0.12076385021209717s
['NKT', 'ArcConsistency', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.12077394723892212s
['ForwardChecking', 'NKD', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.12163761854171753s
['ForwardChecking', 'NKD', 'ArcConsistency', 'None', 'LCV'] avg time: 0.1216461181640625s
['ForwardChecking', 'ArcConsistency', 'NKD', 'MRV', 'LCV'] avg time: 0.12184488773345947s
['ArcConsistency', 'ForwardChecking', 'NKD', 'MRV', 'LCV'] avg time: 0.12198057174682617s
['NKD', 'ForwardChecking', 'ArcConsistency', 'None', 'LCV'] avg time: 0.12223560810089111s
['NKD', 'ForwardChecking', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.12258427143096924s
['NKT', 'NKD', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.12275264263153077s
['ArcConsistency', 'ForwardChecking', 'NKD', 'None', 'LCV'] avg time: 0.12276759147644042s
['NKD', 'ArcConsistency', 'NKT', 'DH', 'LCV'] avg time: 0.1231537938117981s
['ArcConsistency', 'NKD', 'NKT', 'DH', 'LCV'] avg time: 0.12322074174880981s
['ArcConsistency', 'NKD', 'ForwardChecking', 'None', 'LCV'] avg time: 0.12328428030014038s
['ArcConsistency', 'NKD', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.12331061363220215s
['NKD', 'ArcConsistency', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.12455686330795288s
['ArcConsistency', 'NKT', 'NKD', 'DH', 'LCV'] avg time: 0.12470303773880005s
['NKD', 'NKT', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.12475590705871582s
['NKD', 'ArcConsistency', 'ForwardChecking', 'None', 'LCV'] avg time: 0.12479976415634156s
['NKT', 'ArcConsistency', 'NKD', 'DH', 'LCV'] avg time: 0.12519978284835814s
['ArcConsistency', 'MRV', 'None'] avg time: 0.12938956022262574s
['ArcConsistency', 'None', 'None'] avg time: 0.12975128889083862s
['ArcConsistency', 'NKD', 'MRV', 'None'] avg time: 0.13230637311935425s
['NKD', 'ArcConsistency', 'None', 'None'] avg time: 0.13237354755401612s
['ArcConsistency', 'ForwardChecking', 'NKT', 'DH', 'LCV'] avg time: 0.13255612850189208s
['NKD', 'ArcConsistency', 'MRV', 'None'] avg time: 0.13326141834259034s
['ArcConsistency', 'NKD', 'None', 'None'] avg time: 0.133645761013031s
['NKT', 'ArcConsistency', 'None', 'None'] avg time: 0.13413068056106567s
['ArcConsistency', 'NKT', 'DH', 'LCV'] avg time: 0.1343533754348755s
['ArcConsistency', 'NKT', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.1346834659576416s
['NKT', 'ArcConsistency', 'MRV', 'None'] avg time: 0.1347237706184387s
['ArcConsistency', 'NKT', 'MRV', 'None'] avg time: 0.13509743213653563s
['NKT', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.1353393316268921s
['NKT', 'ArcConsistency', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.13540985584259033s
['ForwardChecking', 'NKT', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.13560218811035157s
['ArcConsistency', 'NKT', 'None', 'None'] avg time: 0.1358068346977234s
['ForwardChecking', 'NKT', 'DH', 'LCV'] avg time: 0.13646856546401978s
['NKT', 'NKD', 'ArcConsistency', 'None', 'None'] avg time: 0.13695932626724244s
['ArcConsistency', 'NKD', 'NKT', 'None', 'None'] avg time: 0.1369956374168396s
['NKD', 'NKT', 'ArcConsistency', 'None', 'None'] avg time: 0.1371191620826721s
['NKT', 'NKD', 'ArcConsistency', 'MRV', 'None'] avg time: 0.13734687566757203s
['NKD', 'NKT', 'ArcConsistency', 'MRV', 'None'] avg time: 0.13744558095932008s
['NKD', 'ArcConsistency', 'NKT', 'None', 'None'] avg time: 0.13749709129333496s
['NKT', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.13753312826156616s
['ForwardChecking', 'None', 'None'] avg time: 0.1376604199409485s
['NKT', 'ArcConsistency', 'NKD', 'None', 'None'] avg time: 0.13793444633483887s
['NKD', 'ArcConsistency', 'NKT', 'MRV', 'None'] avg time: 0.1380729079246521s
['ArcConsistency', 'NKT', 'NKD', 'MRV', 'None'] avg time: 0.13818609714508057s
['ArcConsistency', 'NKD', 'NKT', 'MRV', 'None'] avg time: 0.1382705330848694s
['NKT', 'ArcConsistency', 'NKD', 'MRV', 'None'] avg time: 0.1389807105064392s
['ArcConsistency', 'NKT', 'NKD', 'None', 'None'] avg time: 0.1391230583190918s
['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'DH', 'None'] avg time: 0.1393904447555542s
['NKT', 'NKD', 'ArcConsistency', 'ForwardChecking', 'DH', 'None'] avg time: 0.13943538665771485s
['ForwardChecking', 'ArcConsistency', 'NKT', 'DH', 'LCV'] avg time: 0.13959885835647584s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'DH', 'None'] avg time: 0.14006258249282838s
['ArcConsistency', 'NKD', 'ForwardChecking', 'NKT', 'DH', 'None'] avg time: 0.14022196531295777s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'DH', 'None'] avg time: 0.14042190313339234s
['NKD', 'ArcConsistency', 'ForwardChecking', 'NKT', 'DH', 'None'] avg time: 0.1405816435813904s
['NKD', 'NKT', 'ArcConsistency', 'ForwardChecking', 'DH', 'None'] avg time: 0.1408200144767761s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'DH', 'None'] avg time: 0.1409326195716858s
['NKD', 'NKT', 'ForwardChecking', 'ArcConsistency', 'DH', 'None'] avg time: 0.1411725401878357s
['NKT', 'ForwardChecking', 'ArcConsistency', 'NKD', 'DH', 'None'] avg time: 0.14145153760910034s
['ForwardChecking', 'NKD', 'MRV', 'LCV'] avg time: 0.14149149656295776s
['ForwardChecking', 'NKT', 'ArcConsistency', 'NKD', 'DH', 'None'] avg time: 0.14157402515411377s
['NKD', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.14159018993377687s
['ForwardChecking', 'NKD', 'ArcConsistency', 'NKT', 'DH', 'None'] avg time: 0.14198354482650757s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'DH', 'None'] avg time: 0.14200669527053833s
['NKD', 'ArcConsistency', 'NKT', 'ForwardChecking', 'DH', 'None'] avg time: 0.14212578535079956s
['ArcConsistency', 'NKT', 'ForwardChecking', 'NKD', 'DH', 'None'] avg time: 0.14228347539901734s
['NKT', 'ForwardChecking', 'NKD', 'ArcConsistency', 'DH', 'None'] avg time: 0.1423563241958618s
['ArcConsistency', 'ForwardChecking', 'NKD', 'NKT', 'DH', 'None'] avg time: 0.14236140251159668s
['NKT', 'ForwardChecking', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.14262838363647462s
['NKT', 'ArcConsistency', 'NKD', 'ForwardChecking', 'DH', 'None'] avg time: 0.1431589126586914s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'DH', 'None'] avg time: 0.14328961372375487s
['ForwardChecking', 'NKT', 'NKD', 'ArcConsistency', 'DH', 'None'] avg time: 0.1439352512359619s
['ArcConsistency', 'NKD', 'NKT', 'ForwardChecking', 'DH', 'None'] avg time: 0.14409877061843873s
['ForwardChecking', 'MRV', 'None'] avg time: 0.14416565895080566s
['ForwardChecking', 'NKD', 'NKT', 'ArcConsistency', 'DH', 'None'] avg time: 0.14441862106323242s
['ArcConsistency', 'ForwardChecking', 'None', 'LCV'] avg time: 0.14463044404983522s
['ForwardChecking', 'ArcConsistency', 'NKD', 'NKT', 'DH', 'None'] avg time: 0.1446936845779419s
['ForwardChecking', 'ArcConsistency', 'None', 'LCV'] avg time: 0.14488794803619384s
['ForwardChecking', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.14526963233947754s
['ForwardChecking', 'ArcConsistency', 'NKT', 'NKD', 'DH', 'None'] avg time: 0.14626266956329345s
['ArcConsistency', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.14626797437667846s
['NKD', 'ArcConsistency', 'NKT', 'DH', 'None'] avg time: 0.14719549417495728s
['ArcConsistency', 'NKT', 'NKD', 'DH', 'None'] avg time: 0.1472475528717041s
['NKT', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.1472759246826172s
['NKT', 'ArcConsistency', 'NKD', 'DH', 'None'] avg time: 0.1473020315170288s
['NKD', 'NKT', 'ArcConsistency', 'DH', 'None'] avg time: 0.14742348194122315s
['NKT', 'ArcConsistency', 'None', 'LCV'] avg time: 0.14771044254302979s
['ArcConsistency', 'NKD', 'NKT', 'DH', 'None'] avg time: 0.14787302017211915s
['NKT', 'NKD', 'ArcConsistency', 'DH', 'None'] avg time: 0.1483561873435974s
['ArcConsistency', 'NKT', 'None', 'LCV'] avg time: 0.14855010509490968s
['NKT', 'NKD', 'ArcConsistency', 'None', 'LCV'] avg time: 0.1496938109397888s
['ArcConsistency', 'NKT', 'MRV', 'LCV'] avg time: 0.1500675082206726s
['NKT', 'ArcConsistency', 'NKD', 'None', 'LCV'] avg time: 0.15097275972366334s
['NKT', 'ArcConsistency', 'NKD', 'MRV', 'LCV'] avg time: 0.15171232223510742s
['NKD', 'ArcConsistency', 'NKT', 'None', 'LCV'] avg time: 0.1518472909927368s
['NKD', 'NKT', 'ArcConsistency', 'None', 'LCV'] avg time: 0.15200231075286866s
['NKD', 'ArcConsistency', 'NKT', 'MRV', 'LCV'] avg time: 0.15229681730270386s
['NKT', 'NKD', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.15255199670791625s
['NKD', 'NKT', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.15285654067993165s
['ArcConsistency', 'NKT', 'NKD', 'None', 'LCV'] avg time: 0.15304079055786132s
['ArcConsistency', 'NKT', 'NKD', 'MRV', 'LCV'] avg time: 0.15313118696212769s
['ArcConsistency', 'NKD', 'NKT', 'None', 'LCV'] avg time: 0.15326467752456666s
['ArcConsistency', 'NKD', 'NKT', 'MRV', 'LCV'] avg time: 0.15362969636917115s
['NKT', 'ArcConsistency', 'DH', 'None'] avg time: 0.1571072220802307s
['ArcConsistency', 'NKT', 'DH', 'None'] avg time: 0.15882749557495118s
['NKD', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.16178151369094848s
['ArcConsistency', 'NKD', 'None', 'LCV'] avg time: 0.16276299953460693s
['NKD', 'ArcConsistency', 'None', 'LCV'] avg time: 0.1636712908744812s
['ArcConsistency', 'NKD', 'MRV', 'LCV'] avg time: 0.1637237548828125s
['ArcConsistency', 'MRV', 'LCV'] avg time: 0.1672750473022461s
['ArcConsistency', 'None', 'LCV'] avg time: 0.16953818798065184s
['ArcConsistency', 'ForwardChecking', 'NKT', 'DH', 'None'] avg time: 0.17271121740341186s
['ArcConsistency', 'DH', 'LCV'] avg time: 0.1738843083381653s
['ArcConsistency', 'NKT', 'ForwardChecking', 'DH', 'None'] avg time: 0.1764127254486084s
['ForwardChecking', 'ArcConsistency', 'NKT', 'DH', 'None'] avg time: 0.17700177431106567s
['NKT', 'ArcConsistency', 'ForwardChecking', 'DH', 'None'] avg time: 0.17884762287139894s
['ForwardChecking', 'NKT', 'ArcConsistency', 'DH', 'None'] avg time: 0.18095738887786866s
['ForwardChecking', 'NKT', 'DH', 'None'] avg time: 0.18576366901397706s
['NKT', 'ForwardChecking', 'DH', 'None'] avg time: 0.1882346272468567s
['NKT', 'ForwardChecking', 'ArcConsistency', 'DH', 'None'] avg time: 0.18953558206558227s
['ArcConsistency', 'NKD', 'DH', 'LCV'] avg time: 0.1931409239768982s
['NKD', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.1938035488128662s
['ArcConsistency', 'NKD', 'DH', 'None'] avg time: 0.21602482795715333s
['NKD', 'ArcConsistency', 'DH', 'None'] avg time: 0.21721692085266114s
['NKD', 'DH', 'None'] avg time: 0.22637115716934203s
['ForwardChecking', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.23137364387512208s
['ArcConsistency', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.23346190452575682s
['NKD', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.2336634397506714s
['ForwardChecking', 'NKD', 'DH', 'LCV'] avg time: 0.23543958663940429s
['ForwardChecking', 'MRV', 'LCV'] avg time: 0.23936246633529662s
['ArcConsistency', 'DH', 'None'] avg time: 0.24285515546798705s
['ForwardChecking', 'None', 'LCV'] avg time: 0.2553120493888855s
['ForwardChecking', 'NKD', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.2650928974151611s
['ArcConsistency', 'NKD', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.2661706805229187s
['NKD', 'ArcConsistency', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.2670956254005432s
['NKD', 'ForwardChecking', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.26751320362091063s
['ArcConsistency', 'ForwardChecking', 'NKD', 'DH', 'LCV'] avg time: 0.26769630908966063s
['ForwardChecking', 'ArcConsistency', 'NKD', 'DH', 'LCV'] avg time: 0.26865822076797485s
['NKD', 'ForwardChecking', 'DH', 'None'] avg time: 0.274115788936615s
['ForwardChecking', 'NKD', 'DH', 'None'] avg time: 0.27455151081085205s
['NKD', 'ForwardChecking', 'ArcConsistency', 'DH', 'None'] avg time: 0.3037586331367493s
['NKD', 'ArcConsistency', 'ForwardChecking', 'DH', 'None'] avg time: 0.30553746223449707s
['ForwardChecking', 'NKD', 'ArcConsistency', 'DH', 'None'] avg time: 0.3064203977584839s
['ArcConsistency', 'NKD', 'ForwardChecking', 'DH', 'None'] avg time: 0.30666502714157107s
['ForwardChecking', 'ArcConsistency', 'NKD', 'DH', 'None'] avg time: 0.3070867657661438s
['ArcConsistency', 'ForwardChecking', 'NKD', 'DH', 'None'] avg time: 0.3073809742927551s
['ForwardChecking', 'ArcConsistency', 'DH', 'None'] avg time: 0.3408591628074646s
['ArcConsistency', 'ForwardChecking', 'DH', 'None'] avg time: 0.34722075462341306s
['ForwardChecking', 'DH', 'LCV'] avg time: 0.35521209239959717s
['ForwardChecking', 'DH', 'None'] avg time: 0.6573953866958618s
['None', 'None', 'LCV'] avg time: 1.5373993396759034s
['None', 'MRV', 'LCV'] avg time: 1.5855773091316223s
['None', 'None', 'None'] avg time: 1.6047706365585328s
['None', 'MRV', 'None'] avg time: 1.6109909772872926s
['None', 'DH', 'LCV'] avg time: infs
['None', 'DH', 'None'] avg time: infs
Start Testing PE3.txt
['NKD', 'NKT', 'DH', 'LCV'] avg time: 0.07114561796188354s
['NKT', 'NKD', 'DH', 'LCV'] avg time: 0.07307144403457641s
['NKD', 'NKT', 'MRV', 'LCV'] avg time: 0.07657513618469239s
['NKT', 'NKD', 'MRV', 'LCV'] avg time: 0.07919262647628784s
['NKD', 'NKT', 'MRV', 'None'] avg time: 0.08245745897293091s
['NKT', 'NKD', 'MRV', 'None'] avg time: 0.08291828632354736s
['NKT', 'NKD', 'None', 'LCV'] avg time: 0.09117546081542968s
['NKD', 'NKT', 'None', 'LCV'] avg time: 0.091815984249115s
['NKD', 'MRV', 'LCV'] avg time: 0.09185670614242554s
['NKD', 'NKT', 'None', 'None'] avg time: 0.09602544307708741s
['NKT', 'NKD', 'None', 'None'] avg time: 0.09719697237014771s
['NKD', 'NKT', 'DH', 'None'] avg time: 0.09921915531158447s
['NKT', 'NKD', 'DH', 'None'] avg time: 0.10040347576141358s
['NKT', 'NKD', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.10366003513336182s
['ForwardChecking', 'NKD', 'NKT', 'DH', 'LCV'] avg time: 0.10388507843017578s
['NKT', 'ForwardChecking', 'NKD', 'DH', 'LCV'] avg time: 0.10439207553863525s
['NKD', 'NKT', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.10513651371002197s
['ForwardChecking', 'NKT', 'NKD', 'DH', 'LCV'] avg time: 0.10546783208847046s
['NKD', 'ForwardChecking', 'NKT', 'DH', 'LCV'] avg time: 0.10604839324951172s
['NKD', 'DH', 'LCV'] avg time: 0.1078497290611267s
['NKT', 'MRV', 'LCV'] avg time: 0.11110339164733887s
['ArcConsistency', 'NKD', 'NKT', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.11331855058670044s
['NKD', 'ArcConsistency', 'ForwardChecking', 'NKT', 'DH', 'LCV'] avg time: 0.11338770389556885s
['NKD', 'ArcConsistency', 'NKT', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.11348352432250977s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'DH', 'LCV'] avg time: 0.11349965333938598s
['ArcConsistency', 'NKT', 'ForwardChecking', 'NKD', 'DH', 'LCV'] avg time: 0.11366827487945556s
['NKT', 'ForwardChecking', 'ArcConsistency', 'NKD', 'DH', 'LCV'] avg time: 0.11390793323516846s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.11391719579696655s
['ForwardChecking', 'ArcConsistency', 'NKD', 'NKT', 'DH', 'LCV'] avg time: 0.11398288011550903s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.11407303810119629s
['NKD', 'MRV', 'None'] avg time: 0.11409903764724731s
['NKD', 'NKT', 'ArcConsistency', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.1141048789024353s
['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.11416149139404297s
['ForwardChecking', 'NKD', 'ArcConsistency', 'NKT', 'DH', 'LCV'] avg time: 0.11453191041946412s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'DH', 'LCV'] avg time: 0.11454112529754638s
['NKD', 'NKT', 'ForwardChecking', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.11458297967910766s
['NKT', 'ArcConsistency', 'NKD', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.11464629173278809s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'DH', 'LCV'] avg time: 0.11490418910980224s
['NKT', 'ForwardChecking', 'NKD', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.1151057243347168s
['ForwardChecking', 'ArcConsistency', 'NKT', 'NKD', 'DH', 'LCV'] avg time: 0.1151418924331665s
['NKT', 'NKD', 'ArcConsistency', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.1152696967124939s
['ForwardChecking', 'NKD', 'NKT', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.11540136337280274s
['ArcConsistency', 'ForwardChecking', 'NKD', 'NKT', 'DH', 'LCV'] avg time: 0.11629886627197265s
['ArcConsistency', 'NKD', 'ForwardChecking', 'NKT', 'DH', 'LCV'] avg time: 0.11679503917694092s
['ForwardChecking', 'NKT', 'ArcConsistency', 'NKD', 'DH', 'LCV'] avg time: 0.1169097900390625s
['ForwardChecking', 'NKT', 'NKD', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.11702851057052613s
['NKT', 'MRV', 'None'] avg time: 0.11902066469192504s
['NKD', 'ForwardChecking', 'NKT', 'DH', 'None'] avg time: 0.12362639904022217s
['ForwardChecking', 'NKD', 'NKT', 'DH', 'None'] avg time: 0.12370938062667847s
['NKT', 'ForwardChecking', 'NKD', 'DH', 'None'] avg time: 0.12422925233840942s
['NKT', 'NKD', 'ForwardChecking', 'DH', 'None'] avg time: 0.12425264120101928s
['ForwardChecking', 'NKT', 'NKD', 'DH', 'None'] avg time: 0.12467578649520875s
['NKD', 'NKT', 'ForwardChecking', 'DH', 'None'] avg time: 0.12482529878616333s
['NKD', 'None', 'LCV'] avg time: 0.12895163297653198s
['NKD', 'None', 'None'] avg time: 0.13551523685455322s
['NKT', 'ForwardChecking', 'ArcConsistency', 'NKD', 'DH', 'None'] avg time: 0.1473226547241211s
['ArcConsistency', 'NKT', 'ForwardChecking', 'NKD', 'DH', 'None'] avg time: 0.14766710996627808s
['ArcConsistency', 'NKD', 'NKT', 'ForwardChecking', 'DH', 'None'] avg time: 0.1477866291999817s
['NKD', 'ArcConsistency', 'NKT', 'ForwardChecking', 'DH', 'None'] avg time: 0.14782193899154664s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'DH', 'None'] avg time: 0.14791533946990967s
['ForwardChecking', 'NKD', 'NKT', 'ArcConsistency', 'DH', 'None'] avg time: 0.14792754650115966s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'DH', 'None'] avg time: 0.14823979139328003s
['NKT', 'NKD', 'ArcConsistency', 'ForwardChecking', 'DH', 'None'] avg time: 0.14842675924301146s
['NKD', 'ArcConsistency', 'ForwardChecking', 'NKT', 'DH', 'None'] avg time: 0.14843448400497436s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'DH', 'None'] avg time: 0.1485568881034851s
['NKD', 'NKT', 'ArcConsistency', 'ForwardChecking', 'DH', 'None'] avg time: 0.1489635705947876s
['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'DH', 'None'] avg time: 0.1491923451423645s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'DH', 'None'] avg time: 0.149258291721344s
['ArcConsistency', 'NKD', 'ForwardChecking', 'NKT', 'DH', 'None'] avg time: 0.1492753028869629s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'DH', 'None'] avg time: 0.1493419885635376s
['ForwardChecking', 'NKD', 'NKT', 'MRV', 'LCV'] avg time: 0.14955538511276245s
['NKT', 'ForwardChecking', 'NKD', 'MRV', 'LCV'] avg time: 0.14974792003631593s
