['ForwardChecking', 'NKT', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.05070894956588745s
['ForwardChecking', 'NKT', 'NKD', 'None', 'LCV'] avg time: 0.05072145462036133s
['ForwardChecking', 'NKT', 'NKD', 'MRV', 'LCV'] avg time: 0.05083717107772827s
['ForwardChecking', 'NKD', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.05086692571640015s
['NKD', 'ArcConsistency', 'ForwardChecking', 'DH', 'None'] avg time: 0.050951361656188965s
['NKT', 'NKD', 'DH', 'None'] avg time: 0.0509651780128479s
['ForwardChecking', 'ArcConsistency', 'NKD', 'DH', 'None'] avg time: 0.05098152160644531s
['NKT', 'ForwardChecking', 'ArcConsistency', 'DH', 'None'] avg time: 0.05099198818206787s
['ForwardChecking', 'ArcConsistency', 'NKD', 'DH', 'LCV'] avg time: 0.051109778881073s
['ArcConsistency', 'ForwardChecking', 'NKT', 'DH', 'LCV'] avg time: 0.05114370584487915s
['ArcConsistency', 'NKD', 'ForwardChecking', 'DH', 'None'] avg time: 0.051185858249664304s
['NKD', 'ForwardChecking', 'NKT', 'MRV', 'LCV'] avg time: 0.05133432149887085s
['ArcConsistency', 'ForwardChecking', 'NKT', 'DH', 'None'] avg time: 0.05141134262084961s
['NKT', 'ArcConsistency', 'ForwardChecking', 'DH', 'None'] avg time: 0.05152562856674194s
['NKD', 'ForwardChecking', 'ArcConsistency', 'DH', 'None'] avg time: 0.05160355567932129s
['ArcConsistency', 'ForwardChecking', 'NKD', 'DH', 'None'] avg time: 0.05162686109542847s
['ForwardChecking', 'NKT', 'ArcConsistency', 'DH', 'None'] avg time: 0.05163283348083496s
['ArcConsistency', 'NKT', 'ForwardChecking', 'DH', 'None'] avg time: 0.05178121328353882s
['ArcConsistency', 'NKD', 'ForwardChecking', 'NKT', 'DH', 'None'] avg time: 0.0522269606590271s
['ForwardChecking', 'ArcConsistency', 'NKT', 'NKD', 'DH', 'None'] avg time: 0.052239739894866945s
['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'DH', 'None'] avg time: 0.052248799800872804s
['NKT', 'ForwardChecking', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.05225049257278443s
['ForwardChecking', 'NKD', 'NKT', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.05236333608627319s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'DH', 'None'] avg time: 0.052566695213317874s
['NKD', 'ArcConsistency', 'ForwardChecking', 'NKT', 'DH', 'None'] avg time: 0.05256886482238769s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'DH', 'None'] avg time: 0.05259850025177002s
['NKT', 'ForwardChecking', 'ArcConsistency', 'NKD', 'DH', 'None'] avg time: 0.05269726514816284s
['ArcConsistency', 'NKT', 'ForwardChecking', 'NKD', 'DH', 'None'] avg time: 0.052794229984283444s
['NKT', 'ArcConsistency', 'NKD', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.05283740758895874s
['ForwardChecking', 'NKT', 'ArcConsistency', 'NKD', 'DH', 'None'] avg time: 0.052910876274108884s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'DH', 'None'] avg time: 0.05297505855560303s
['NKT', 'ArcConsistency', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.05298922061920166s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'DH', 'LCV'] avg time: 0.05299588441848755s
['NKT', 'ArcConsistency', 'NKD', 'ForwardChecking', 'DH', 'None'] avg time: 0.05311605930328369s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.05311957597732544s
['NKD', 'ArcConsistency', 'NKT', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.05312265157699585s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'DH', 'LCV'] avg time: 0.053128290176391604s
['NKD', 'NKT', 'ForwardChecking', 'ArcConsistency', 'DH', 'None'] avg time: 0.05316448211669922s
['ForwardChecking', 'NKT', 'NKD', 'ArcConsistency', 'DH', 'None'] avg time: 0.05317227840423584s
['ForwardChecking', 'NKD', 'ArcConsistency', 'NKT', 'DH', 'LCV'] avg time: 0.05318074226379395s
['ForwardChecking', 'ArcConsistency', 'NKT', 'NKD', 'DH', 'LCV'] avg time: 0.05321892499923706s
['ForwardChecking', 'NKT', 'ArcConsistency', 'NKD', 'DH', 'LCV'] avg time: 0.05327228307723999s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'DH', 'None'] avg time: 0.053303194046020505s
['ForwardChecking', 'ArcConsistency', 'NKD', 'NKT', 'DH', 'None'] avg time: 0.0533061146736145s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'DH', 'None'] avg time: 0.05336529016494751s
['NKD', 'NKT', 'ArcConsistency', 'ForwardChecking', 'DH', 'None'] avg time: 0.053402721881866455s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'DH', 'LCV'] avg time: 0.053405261039733885s
